college,department,name,role,profile,namelast,namefirst,identifier1,identifier2
The Business School,Economics,Professor Ian Bateman,"Professor of Environmental Economics, Director of the Land, Environment, Economics and Policy Institute (LEEP) and Director of the South West Partnership for Environment & Economic Prosperity (SWEEP)",https://business-school.exeter.ac.uk/about/people/profile/index.php?web_id=Ian_Bateman,Bateman,Ian,"Bateman, I","Bateman, Ian"
The Business School,Economics,Professor Giuseppe Cavaliere,Distinguished Research Professor,https://business-school.exeter.ac.uk/about/people/profile/index.php?web_id=Giuseppe_Cavaliere,Cavaliere,Giuseppe,"Cavaliere, G","Cavaliere, Giuseppe"
The Business School,Economics,Professor Surajeet Chakravarty,"Associate Professor in Economics, Director of Postgraduate Research Students (Economics)",https://business-school.exeter.ac.uk/about/people/profile/index.php?web_id=Surajeet_Chakravarty,Chakravarty,Surajeet,"Chakravarty, S","Chakravarty, Surajeet"
The Business School,Economics,Professor Carlos Cortinhas,Associate Professor of Economics,https://business-school.exeter.ac.uk/about/people/profile/index.php?web_id=Carlos_Cortinhas,Cortinhas,Carlos,"Cortinhas, C","Cortinhas, Carlos"
The Business School,Economics,Professor James Davidson,Emeritus Professor of Econometrics,https://business-school.exeter.ac.uk/about/people/profile/index.php?web_id=James_Davidson,Davidson,James,"Davidson, J","Davidson, James"
The Business School,Economics,Professor Brett Day,"Professor of Environmental Economics, Director of the Land, Environment, Economics and Policy Institute (LEEP)",https://business-school.exeter.ac.uk/about/people/profile/index.php?web_id=Brett_Day,Day,Brett,"Day, B","Day, Brett"
The Business School,Economics,Professor Miguel Fonseca,Associate Professor of Economics,https://business-school.exeter.ac.uk/about/people/profile/index.php?web_id=Miguel_Fonseca,Fonseca,Miguel,"Fonseca, M","Fonseca, Miguel"
The Business School,Economics,Professor Brit Grosskopf,Professor of Economics and Head of Economics Department,https://business-school.exeter.ac.uk/about/people/profile/index.php?web_id=Brit_Grosskopf,Grosskopf,Brit,"Grosskopf, B","Grosskopf, Brit"
The Business School,Economics,Professor Oliver Hauser,Associate Professor of Economics,https://business-school.exeter.ac.uk/about/people/profile/index.php?web_id=Oliver_Hauser,Hauser,Oliver,"Hauser, O","Hauser, Oliver"
The Business School,Economics,Professor Anthony Heyes,Distinguished Research Professor,https://business-school.exeter.ac.uk/about/people/profile/index.php?web_id=anthony_heyes,Heyes,Anthony,"Heyes, A","Heyes, Anthony"
The Business School,Economics,Professor Alex Inman,Professor of Practice (LEEP),https://business-school.exeter.ac.uk/about/people/profile/index.php?web_id=Alex_Inman,Inman,Alex,"Inman, A","Inman, Alex"
The Business School,Economics,Professor Julian Jamison,"Professor of Economics, Director of Research (Economics)",https://business-school.exeter.ac.uk/about/people/profile/index.php?web_id=Julian_Jamison,Jamison,Julian,"Jamison, J","Jamison, Julian"
The Business School,Economics,Professor Todd R Kaplan,Professor of Economics,https://business-school.exeter.ac.uk/about/people/profile/index.php?web_id=Todd_Kaplan,Kaplan,Todd,"Kaplan, T","Kaplan, Todd"
The Business School,Economics,Professor Christos Kotsogiannis,"Professor of Economics, Director of Tax Administration Research Centre (TARC)",https://business-school.exeter.ac.uk/about/people/profile/index.php?web_id=Christos_Kotsogiannis,Kotsogiannis,Christos,"Kotsogiannis, C","Kotsogiannis, Christos"
The Business School,Economics,Professor John Maloney,Associate Professor of Economics,https://business-school.exeter.ac.uk/about/people/profile/index.php?web_id=John_Maloney,Maloney,John,"Maloney, J","Maloney, John"
The Business School,Economics,Professor Steve McCorriston,Professor of Agricultural Economics,https://business-school.exeter.ac.uk/about/people/profile/index.php?web_id=Steven_McCorriston,McCorriston,Steve,"McCorriston, S","McCorriston, Steve"
The Business School,Economics,Professor Sonia Oreffice,Professor in Economics,https://business-school.exeter.ac.uk/about/people/profile/index.php?web_id=Sonia_Oreffice,Oreffice,Sonia,"Oreffice, S","Oreffice, Sonia"
The Business School,Economics,Professor Climent Quintana-Domeque,Professor of Economics,https://business-school.exeter.ac.uk/about/people/profile/index.php?web_id=Climent_Quintana,Quintana-Domeque,Climent,"Quintana-Domeque, C","Quintana-Domeque, Climent"
The Business School,Economics,Professor Maxim Troshkin,Associate Professor of Economics,https://business-school.exeter.ac.uk/about/people/profile/index.php?web_id=max_troshkin,Troshkin,Maxim,"Troshkin, M","Troshkin, Maxim"
The Business School,Economics,Professor Ben Zissimos,Associate Professor of Economics,https://business-school.exeter.ac.uk/about/people/profile/index.php?web_id=Ben_Zissimos,Zissimos,Ben,"Zissimos, B","Zissimos, Ben"
The Business School,Economics,Dr Gary Abrahams,Senior Lecturer in Economics and Director of Education (Economics),https://business-school.exeter.ac.uk/about/people/profile/index.php?web_id=Gary_Abrahams,Abrahams,Gary,"Abrahams, G","Abrahams, Gary"
The Business School,Economics,Dr Edmond Awad,Lecturer in Economics,https://business-school.exeter.ac.uk/about/people/profile/index.php?web_id=Edmond_Awad,Awad,Edmond,"Awad, E","Awad, Edmond"
The Business School,Economics,Dr Rakesh Banerjee,Lecturer in Economics,https://business-school.exeter.ac.uk/about/people/profile/index.php?web_id=Rakesh_Banerjee,Banerjee,Rakesh,"Banerjee, R","Banerjee, Rakesh"
The Business School,Economics,Dr Amy Binner,Senior Lecturer (LEEP),https://business-school.exeter.ac.uk/about/people/profile/index.php?web_id=Amy_Binner,Binner,Amy,"Binner, A","Binner, Amy"
The Business School,Economics,Dr Lotta Björklund Larsen,Research Fellow,https://business-school.exeter.ac.uk/about/people/profile/index.php?web_id=l_bjorklund_larsen,Larsen,Lotta,"Larsen, L","Larsen, Lotta"
